country,director,genre,imdb_rating,imdb_url,title,url,year
Исландия,Ничка Кин,,6.8,https://www.imdb.com/title/tt0138545/,,https://ru.wikipedia.org/wiki/%D0%9C%D0%BE%D0%B6%D0%B6%D0%B5%D0%B2%D0%B5%D0%BB%D0%BE%D0%B2%D0%BE%D0%B5_%D0%B4%D0%B5%D1%80%D0%B5%D0%B2%D0%BE_(%D1%84%D0%B8%D0%BB%D1%8C%D0%BC),1990
СССР,Игорь Минаев,,6.2,https://www.imdb.com/title/tt0100355/,,https://ru.wikipedia.org/wiki/%D0%9F%D0%B5%D1%80%D0%B2%D1%8B%D0%B9_%D1%8D%D1%82%D0%B0%D0%B6_(%D1%84%D0%B8%D0%BB%D1%8C%D0%BC),1990
,Дэвид Линч,,8.2,https://www.imdb.com/title/tt0080678/,,https://ru.wikipedia.org/wiki/%D0%A7%D0%B5%D0%BB%D0%BE%D0%B2%D0%B5%D0%BA-%D1%81%D0%BB%D0%BE%D0%BD,1980
СССР,,,,,,https://ru.wikipedia.org/wiki/%D0%A1%D0%BE%D1%81%D0%BB%D1%83%D0%B6%D0%B8%D0%B2%D1%86%D1%8B_(%D1%82%D0%B5%D0%BB%D0%B5%D1%81%D0%BF%D0%B5%D0%BA%D1%82%D0%B0%D0%BA%D0%BB%D1%8C),1973
,Джим Джармуш,,7.4,https://www.imdb.com/title/tt0088184/,,"https://ru.wikipedia.org/wiki/%D0%91%D0%BE%D0%BB%D0%B5%D0%B5_%D1%81%D1%82%D1%80%D0%B0%D0%BD%D0%BD%D0%BE,_%D1%87%D0%B5%D0%BC_%D0%B2_%D1%80%D0%B0%D1%8E",1984
Швеция,"Арне Суксдорф, [, 1, ]",,7,https://www.imdb.com/title/tt0059456/,,https://ru.wikipedia.org/wiki/%D0%9C%D0%BE%D0%B9_%D0%B4%D0%BE%D0%BC_%E2%80%94_%D0%9A%D0%BE%D0%BF%D0%B0%D0%BA%D0%B0%D0%B1%D0%B0%D0%BD%D0%B0,1965
Дания,Йенс Йорген Торсен,,5.1,https://www.imdb.com/title/tt0066407/,,"https://ru.wikipedia.org/wiki/%D0%A2%D0%B8%D1%85%D0%B8%D0%B5_%D0%B4%D0%BD%D0%B8_%D0%B2_%D0%9A%D0%BB%D0%B8%D1%88%D0%B8_(%D1%84%D0%B8%D0%BB%D1%8C%D0%BC,_1970)",1970
СССР,,,,,,https://ru.wikipedia.org/wiki/%D0%9A%D1%80%D0%B0%D1%82%D0%BA%D0%B8%D0%B5_%D0%B2%D1%81%D1%82%D1%80%D0%B5%D1%87%D0%B8_%D0%BD%D0%B0_%D0%B4%D0%BE%D0%BB%D0%B3%D0%BE%D0%B9_%D0%B2%D0%BE%D0%B9%D0%BD%D0%B5,1970
СССР,Вениамин Дорман,,7.5,https://www.imdb.com/title/tt0168036/,,"https://ru.wikipedia.org/wiki/%D0%9B%D1%91%D0%B3%D0%BA%D0%B0%D1%8F_%D0%B6%D0%B8%D0%B7%D0%BD%D1%8C_(%D1%84%D0%B8%D0%BB%D1%8C%D0%BC,_1964)",1964
СССР,Эдуард Бочаров,,5.2,https://www.imdb.com/title/tt2942750/,,https://ru.wikipedia.org/wiki/%D0%A1%D0%B5%D1%80%D0%B5%D0%B1%D1%80%D1%8F%D0%BD%D1%8B%D0%B5_%D1%82%D1%80%D1%83%D0%B1%D1%8B,1970
СССР,Нодар Манагадзе,,7.1,https://www.imdb.com/title/tt0280698/,,https://ru.wikipedia.org/wiki/%D0%9E%D0%B6%D0%B8%D0%B2%D1%88%D0%B8%D0%B5_%D0%BB%D0%B5%D0%B3%D0%B5%D0%BD%D0%B4%D1%8B,1976
Польша,Анджей Пётровский,,5.8,https://www.imdb.com/title/tt0069132/,,"https://ru.wikipedia.org/wiki/%D0%9B%D0%BE%D0%B2%D1%83%D1%88%D0%BA%D0%B0_(%D1%84%D0%B8%D0%BB%D1%8C%D0%BC,_1970)",1970
СССР,,,6.7,https://www.imdb.com/title/tt0383330/,,https://ru.wikipedia.org/wiki/%D0%94%D0%B2%D0%B5_%D1%81%D0%B5%D1%81%D1%82%D1%80%D1%8B_(%D1%84%D0%B8%D0%BB%D1%8C%D0%BC),1970
США,Джон Уотерс,,5.8,https://www.imdb.com/title/tt0127514/,,https://ru.wikipedia.org/wiki/%D0%98%D1%81%D1%82%D0%BE%D1%80%D0%B8%D1%8F_%D0%94%D0%B0%D0%B9%D0%B0%D0%BD%D1%8B_%D0%9B%D0%B8%D0%BD%D0%BA%D0%BB%D0%B5%D1%82%D1%82%D0%B5%D1%80,1970
СССР,Григорий Козинцев,,8,https://www.imdb.com/title/tt0064553/,,"https://ru.wikipedia.org/wiki/%D0%9A%D0%BE%D1%80%D0%BE%D0%BB%D1%8C_%D0%9B%D0%B8%D1%80_(%D1%84%D0%B8%D0%BB%D1%8C%D0%BC,_1970)",1970
